open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-03-07 09:00:00,2.51470000,2.56290000,2.51150000,2.54040000,2660292.00000000,1741341599999,6763115.34890000,1879,1882676.00000000,4783498.68210000,0
2025-03-07 10:00:00,2.53970000,2.55120000,2.53240000,2.54050000,2402175.00000000,1741345199999,6105825.87430000,1707,1733154.00000000,4405291.96370000,0
2025-03-07 11:00:00,2.54060000,2.55450000,2.52190000,2.52960000,2442238.00000000,1741348799999,6192763.00220000,1457,1657225.00000000,4201968.73230000,0
2025-03-07 12:00:00,2.52950000,2.53670000,2.49960000,2.51120000,2447977.00000000,1741352399999,6168655.82570000,1481,1511194.00000000,3806892.85300000,0
2025-03-07 13:00:00,2.51100000,2.55250000,2.50930000,2.52450000,2722652.00000000,1741355999999,6878063.50760000,1803,1833573.00000000,4630798.01540000,0
2025-03-07 14:00:00,2.52490000,2.55320000,2.49390000,2.53000000,2731985.00000000,1741359599999,6883970.84310000,1668,1895692.00000000,4777927.35050000,0
2025-03-07 15:00:00,2.52970000,2.55150000,2.48560000,2.50220000,2979750.00000000,1741363199999,7501504.81180000,1815,1930493.00000000,4863968.15870000,0
2025-03-07 16:00:00,2.50180000,2.50800000,2.38640000,2.42230000,3223400.00000000,1741366799999,7839386.09620000,1831,2012160.00000000,4887767.95790000,0
2025-03-07 17:00:00,2.43360000,2.47180000,2.40430000,2.44790000,3143249.00000000,1741370399999,7632436.87180000,1819,2228192.00000000,5410720.74760000,0
2025-03-07 18:00:00,2.44790000,2.51490000,2.44360000,2.50690000,3736566.00000000,1741373999999,9259858.76600000,2210,2433081.00000000,6029792.40960000,0
2025-03-07 19:00:00,2.50720000,2.52200000,2.46150000,2.48030000,2929014.00000000,1741377599999,7296788.88920000,1725,1787592.00000000,4450861.52200000,0
2025-03-07 20:00:00,2.47990000,2.52930000,2.44670000,2.46740000,3304517.00000000,1741381199999,8205571.81420000,1944,2458901.00000000,6102109.72680000,0
2025-03-07 21:00:00,2.46740000,2.46840000,2.38290000,2.39560000,3115340.00000000,1741384799999,7558263.73760000,1866,2041517.00000000,4950187.14800000,0
2025-03-07 22:00:00,2.39580000,2.40300000,2.35250000,2.39750000,3148033.00000000,1741388399999,7490610.16800000,1806,2097445.00000000,4989528.68360000,0
2025-03-07 23:00:00,2.39630000,2.39640000,2.35730000,2.38500000,3168997.00000000,1741391999999,7518673.54560000,1796,2267427.00000000,5380722.07370000,0
2025-03-08 00:00:00,2.38500000,2.40790000,2.36830000,2.40540000,3092284.00000000,1741395599999,7386226.34440000,1770,2254521.00000000,5384311.90470000,0
2025-03-08 01:00:00,2.40530000,2.40630000,2.34570000,2.36630000,2636410.00000000,1741399199999,6258411.13970000,1489,1619181.00000000,3836952.76470000,0
2025-03-08 02:00:00,2.36680000,2.37210000,2.35720000,2.36340000,2521481.00000000,1741402799999,5962162.96300000,1397,1837773.00000000,4346014.91530000,0
2025-03-08 03:00:00,2.36340000,2.36350000,2.33200000,2.34530000,2069693.00000000,1741406399999,4852383.19700000,1597,1229184.00000000,2879614.43880000,0
